mode,seed,episode_idx,success,final_distance,length,return,tau_effort,tau_sum_total,energy,target_radius,torque_sat1_count,torque_sat2_count,torque_sat_any_count,torque_sat1_rate,torque_sat2_rate,torque_sat_any_rate,step,theta1,theta2,target_x,target_y,action0,action1,distance,tau1,tau2,tau_sum,omega1,omega2,power,cumulative_energy,tip_x,tip_y,sat1,sat2,sat_any,reward,done
pirl,4,1,1,0.04833156371615695,131,-21.765989264813943,0.461122861045369,60.40709479694333,0.4269313369697879,0.9040403259054448,1,0,1,0.007633587786259542,0.0,0.007633587786259542,0,0.0,0.0,0.8781474828720093,0.21481598913669586,0.0,0.0,0.24696952265250122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False,False,0.0,False
pirl,4,1,1,0.04833156371615695,131,-21.765989264813943,0.461122861045369,60.40709479694333,0.4269313369697879,0.9040403259054448,1,0,1,0.007633587786259542,0.0,0.007633587786259542,1,0.0,0.0,0.8781474828720093,0.21481598913669586,0.10000000149011612,0.10000000149011612,0.23654203389153822,20.0,3.1105159320256677,23.110515932025667,1.6857737576570138,2.400000035762787,41.18071350124259,0.17158630625517746,0.9999152421951294,0.012023617513477802,True,False,True,-0.24823871322030874,False
pirl,4,1,1,0.04833156371615695,131,-21.765989264813943,0.461122861045369,60.40709479694333,0.4269313369697879,0.9040403259054448,1,0,1,0.007633587786259542,0.0,0.007633587786259542,2,0.00702405720949173,0.009999999776482582,0.8781474828720093,0.21481598913669586,0.10000000149011612,0.10000000149011612,0.22363988550703187,7.70733011086543,0.5461881733495724,8.253518284215003,2.400000035762787,2.399748214650084,19.808306635571267,0.2541209172367244,0.9995849132537842,0.027018895372748375,False,False,False,-0.22790806601189706,False
pirl,4,1,1,0.04833156371615695,131,-21.765989264813943,0.461122861045369,60.40709479694333,0.4269313369697879,0.9040403259054448,1,0,1,0.007633587786259542,0.0,0.007633587786259542,3,0.017024056985974312,0.019998950883746147,0.8781474828720093,0.21481598913669586,0.10000000149011612,0.10000000149011612,0.21087834336713185,0.012964453801222048,0.003658842271611695,0.01662329607283374,2.4000000357627864,2.39991467952911,0.039895598864300455,0.254287148898659,0.9990047216415405,0.04200625792145729,False,False,False,-0.21102807637792595,False
pirl,4,1,1,0.04833156371615695,131,-21.765989264813943,0.461122861045369,60.40709479694333,0.4269313369697879,0.9040403259054448,1,0,1,0.007633587786259542,0.0,0.007633587786259542,4,0.027024056762456894,0.029998594895005226,0.8781474828720093,0.21481598913669586,0.10000000149011612,0.10000000149011612,0.19828896674605834,0.012838578235293366,0.003532966705674115,0.01637154494096748,2.400000035762787,2.3999155082770383,0.03929140981102116,0.2544508631062049,0.9981749653816223,0.05698089301586151,False,False,False,-0.1984385738812865,False
pirl,4,1,1,0.04833156371615695,131,-21.765989264813943,0.461122861045369,60.40709479694333,0.4269313369697879,0.9040403259054448,1,0,1,0.007633587786259542,0.0,0.007633587786259542,5,0.037024058401584625,0.03999824449419975,0.8781474828720093,0.21481598913669586,0.10000000149011612,0.10000000149011612,0.18591059875170104,0.012837951561884416,0.0035323400322740633,0.016370291594158478,2.4000000357627864,2.399915512402972,0.03928840184618006,0.254614564780564,0.9970958232879639,0.07193826884031296,False,False,False,-0.18606020526025582,False
pirl,4,1,1,0.04833156371615695,131,-21.765989264813943,0.461122861045369,60.40709479694333,0.4269313369697879,0.9040403259054448,1,0,1,0.007633587786259542,0.0,0.007633587786259542,6,0.04702405631542206,0.04999789223074913,0.8781474828720093,0.21481598913669586,0.10000000149011612,0.10000000149011612,0.1737920825508224,0.012837948441991012,0.0035323369123717585,0.01637028535436277,2.400000035762787,2.3999155124235125,0.0392883868710064,0.25477826639252654,0.9957677125930786,0.08687393367290497,False,False,False,-0.17394168905625726,False
pirl,4,1,1,0.04833156371615695,131,-21.765989264813943,0.461122861045369,60.40709479694333,0.4269313369697879,0.9040403259054448,1,0,1,0.007633587786259542,0.0,0.007633587786259542,7,0.05702405795454979,0.05999753996729851,0.8781474828720093,0.21481598913669586,0.10000000149011612,0.10000000149011612,0.16199530914480229,0.012837948426449189,0.003532336896838834,0.016370285323288023,2.4000000357627864,2.3999155124236147,0.03928838679642867,0.25494196800417834,0.99419105052948,0.1017833799123764,False,False,False,-0.16214491565022163,False
pirl,4,1,1,0.04833156371615695,131,-21.765989264813943,0.461122861045369,60.40709479694333,0.4269313369697879,0.9040403259054448,1,0,1,0.007633587786259542,0.0,0.007633587786259542,8,0.06702405959367752,0.06999718397855759,0.8781474828720093,0.21481598913669586,0.10000000149011612,0.10000000149011612,0.15059916834015252,0.012837948426382013,0.0035323368967627635,0.016370285323144777,2.400000035762787,2.3999155124236156,0.039288386796084894,0.2551056696158287,0.9923663139343262,0.11666218936443329,False,False,False,-0.15074877484557178,False
pirl,4,1,1,0.04833156371615695,131,-21.765989264813943,0.461122861045369,60.40709479694333,0.4269313369697879,0.9040403259054448,1,0,1,0.007633587786259542,0.0,0.007633587786259542,9,0.07702405750751495,0.07999683171510696,0.8781474828720093,0.21481598913669586,0.10000000149011612,0.10000000149011612,0.13970497664364454,0.012837948426371815,0.0035323368967614625,0.016370285323133275,2.4000000357627864,2.399915512423616,0.0392883867960573,0.25526937122747895,0.9902942776679993,0.13150586187839508,False,False,False,-0.1398545831490638,False
